TIME,Value,,,,,,,,
2003-01,0.4422333,,,,,,,,
2003-02,0.7705008,,,,,,,,
2003-03,0.6007646,,,,,,,,
2003-04,-0.2171553,,,,,,,,
2003-05,-0.1632209,,,,,,,,
2003-06,0.1089918,,,,,,,,
2003-07,0.1088732,,,,,,,,
2003-08,0.3806416,,,,,,,,
2003-09,0.3250271,,,,,,,,
2003-10,-0.1079914,,,,,,,,
2003-11,-0.2702703,,,,,,,,
2003-12,-0.1084011,,,,,,,,
2004-01,0.4883342,,,,,,,,
2004-02,0.5399568,,,,,,,,
2004-03,0.6444683,,,,,,,,
2004-04,0.3201708,,,,,,,,
2004-05,0.5851064,,,,,,,,
2004-06,0.3172925,,,,,,,,
2004-07,-0.1581444,,,,,,,,
2004-08,0.05279831,,,,,,,,
2004-09,0.2110818,,,,,,,,
2004-10,0.526593,,,,,,,,
2004-11,0.05238345,,,,,,,,
2004-12,-0.3664922,,,,,,,,
2005-01,0.2101944,,,,,,,,
2005-02,0.5768222,,,,,,,,
2005-03,0.7820647,,,,,,,,
2005-04,0.6725298,,,,,,,,
2005-05,-0.1027749,,,,,,,,
2005-06,0.05144033,,,,,,,,
2005-07,0.4627249,,,,,,,,
2005-08,0.5117707,,,,,,,,
2005-09,1.221996,,,,,,,,
2005-10,0.2012073,,,,,,,,
2005-11,-0.8032129,,,,,,,,
2005-12,-0.4048583,,,,,,,,
2006-01,0.7621951,,,,,,,,
2006-02,0.2017146,,,,,,,,
2006-03,0.5535984,,,,,,,,
2006-04,0.8508509,,,,,,,,
2006-05,0.4962779,,,,,,,,
2006-06,0.1975309,,,,,,,,
2006-07,0.2957122,,,,,,,,
2006-08,0.1965602,,,,,,,,
2006-09,-0.4904365,,,,,,,,
2006-10,-0.542139,,,,,,,,
2006-11,-0.148662,,,,,,,,
2006-12,0.1488834,,,,,,,,
2007-01,0.3052527,,,,,,,,
2007-02,0.5350367,,,,,,,,
2007-03,0.9105696,,,,,,,,
2007-04,0.6496162,,,,,,,,
2007-05,0.6110719,,,,,,,,
2007-06,0.1937975,,,,,,,,
2007-07,-0.02543772,,,,,,,,
2007-08,-0.1833902,,,,,,,,
2007-09,0.2755907,,,,,,,,
2007-10,0.2139191,,,,,,,,
2007-11,0.5939618,,,,,,,,
2007-12,-0.06708632,,,,,,,,
2008-01,0.4970576,,,,,,,,
2008-02,0.2904112,,,,,,,,
2008-03,0.8668213,,,,,,,,
2008-04,0.6064779,,,,,,,,
2008-05,0.8420886,,,,,,,,
2008-06,1.0077,,,,,,,,
2008-07,0.5251011,,,,,,,,
2008-08,-0.3991562,,,,,,,,
2008-09,-0.1383018,,,,,,,,
2008-10,-1.010133,,,,,,,,
2008-11,-1.91529,,,,,,,,
2008-12,-1.034247,,,,,,,,
2009-01,0.4352417,,,,,,,,
2009-02,0.4972933,,,,,,,,
2009-03,0.2431749,,,,,,,,
2009-04,0.2496368,,,,,,,,
2009-05,0.2888764,,,,,,,,
2009-06,0.8589892,,,,,,,,
2009-07,-0.1585587,,,,,,,,
2009-08,0.224285,,,,,,,,
2009-09,0.06254807,,,,,,,,
2009-10,0.09631012,,,,,,,,
2009-11,0.07077534,,,,,,,,
2009-12,-0.1761198,,,,,,,,
2010-01,0.3417473,,,,,,,,
2010-02,0.02492074,,,,,,,,
2010-03,0.4106283,,,,,,,,
2010-04,0.1736885,,,,,,,,
2010-05,0.07751974,,,,,,,,
2010-06,-0.09762671,,,,,,,,
2010-07,0.02110431,,,,,,,,
2010-08,0.1380664,,,,,,,,
2010-09,0.05817362,,,,,,,,
2010-10,0.1245199,,,,,,,,
2010-11,0.04206464,,,,,,,,
2010-12,0.1718441,,,,,,,,
2011-01,0.476323,,,,,,,,
2011-02,0.4931365,,,,,,,,
2011-03,0.9751072,,,,,,,,
2011-04,0.643943,,,,,,,,
2011-05,0.4704188,,,,,,,,
2011-06,-0.1070967,,,,,,,,
2011-07,0.08860457,,,,,,,,
2011-08,0.2757589,,,,,,,,
2011-09,0.1518462,,,,,,,,
2011-10,-0.2062683,,,,,,,,
2011-11,-0.08435614,,,,,,,,
2011-12,-0.2466516,,,,,,,,
2012-01,0.4400191,,,,,,,,
2012-02,0.4402974,,,,,,,,
2012-03,0.7594559,,,,,,,,
2012-04,0.302103,,,,,,,,
2012-05,-0.1173479,,,,,,,,
2012-06,-0.1466397,,,,,,,,
2012-07,-0.1629786,,,,,,,,
2012-08,0.5565158,,,,,,,,
2012-09,0.4462212,,,,,,,,
2012-10,-0.03889252,,,,,,,,
2012-11,-0.4738087,,,,,,,,
2012-12,-0.2693065,,,,,,,,
2013-01,0.2957304,,,,,,,,
2013-02,0.8190029,,,,,,,,
2013-03,0.2614509,,,,,,,,
2013-04,-0.1039639,,,,,,,,
2013-05,0.1780408,,,,,,,,
2013-06,0.2399708,,,,,,,,
2013-07,0.03939975,,,,,,,,
2013-08,0.1202932,,,,,,,,
2013-09,0.1163004,,,,,,,,
2013-10,-0.2575283,,,,,,,,
2013-11,-0.2042424,,,,,,,,
2013-12,-0.008581149,,,,,,,,
2014-01,0.3720248,,,,,,,,
2014-02,0.3697909,,,,,,,,
2014-03,0.6440044,,,,,,,,
2014-04,0.3296754,,,,,,,,
2014-05,0.349261,,,,,,,,
2014-06,0.1862127,,,,,,,,
2014-07,-0.03901939,,,,,,,,
2014-08,-0.1670514,,,,,,,,
2014-09,0.07525688,,,,,,,,
2014-10,-0.2512278,,,,,,,,
2014-11,-0.5399418,,,,,,,,
2014-12,-0.5670101,,,,,,,,
2015-01,-0.4705893,,,,,,,,
2015-02,0.4343045,,,,,,,,
2015-03,0.5951722,,,,,,,,
2015-04,0.2032873,,,,,,,,
2015-05,0.5097232,,,,,,,,
2015-06,0.350287,,,,,,,,
2015-07,0.006704716,,,,,,,,
2015-08,-0.1416276,,,,,,,,
2015-09,-0.1556757,,,,,,,,
2015-10,-0.04496837,,,,,,,,
2015-11,-0.211068,,,,,,,,
2015-12,-0.3417096,,,,,,,,
2016-01,0.1653102,,,,,,,,
2016-02,0.08230765,,,,,,,,
2016-03,0.4306,,,,,,,,
2016-04,0.4741068,,,,,,,,
2016-05,0.4045791,,,,,,,,
2016-06,0.3284366,,,,,,,,
2016-07,-0.1618136,,,,,,,,
2016-08,0.09184301,,,,,,,,
2016-09,0.2403996,,,,,,,,
2016-10,0.1246748,,,,,,,,
2016-11,-0.1555461,,,,,,,,
2016-12,0.03273214,,,,,,,,
2017-01,0.5827728,,,,,,,,
2017-02,0.3146117,,,,,,,,
2017-03,0.08127978,,,,,,,,
2017-04,0.2965533,,,,,,,,
2017-05,0.08547218,,,,,,,,
2017-06,0.0907111,,,,,,,,
2017-07,-0.06899226,,,,,,,,
2017-08,0.2994452,,,,,,,,
2017-09,0.5294906,,,,,,,,
2017-10,-0.06320421,,,,,,,,
2017-11,0.002432469,,,,,,,,
2017-12,-0.05878323,,,,,,,,
2018-01,0.5447745,,,,,,,,
2018-02,0.453469,,,,,,,,
2018-03,0.2261126,,,,,,,,
2018-04,0.3975092,,,,,,,,
2018-05,0.4158917,,,,,,,,
2018-06,0.1593876,,,,,,,,
2018-07,0.006746326,,,,,,,,
2018-08,0.05555423,,,,,,,,
2018-09,0.1162025,,,,,,,,
2018-10,0.1766763,,,,,,,,
2018-11,-0.3349349,,,,,,,,
2018-12,-0.3193963,,,,,,,,
2019-01,0.1906597,,,,,,,,
2019-02,0.4227053,,,,,,,,
2019-03,0.5641358,,,,,,,,
2019-04,0.5295002,,,,,,,,
2019-05,0.2128759,,,,,,,,
2019-06,0.01991472,,,,,,,,
2019-07,0.1670942,,,,,,,,
2019-08,-0.005066824,,,,,,,,
2019-09,0.07834486,,,,,,,,
2019-10,0.2286191,,,,,,,,
2019-11,-0.0536243,,,,,,,,
2019-12,-0.09097695,,,,,,,,
2020-01,0.387977,,,,,,,,
2020-02,0.2740618,,,,,,,,
2020-03,-0.2176451,,,,,,,,
2020-04,-0.6686942,,,,,,,,
2020-05,0.001950162,,,,,,,,
2020-06,0.5472047,,,,,,,,
2020-07,0.5058243,,,,,,,,
2020-08,0.3153211,,,,,,,,
2020-09,0.1392747,,,,,,,,
2020-10,0.04149378,,,,,,,,
2020-11,-0.06106272,,,,,,,,
2020-12,0.09414785,,,,,,,,
2021-01,0.4253784,,,,,,,,
